publisher,isbn10,isbn13,title,language,pub_year,book_id,authors,genre_list,img_url,description
Simon ,1476773955,9781476773957,"A Call to Action: Women, Religion, Violence, and Power",,2014,20523863,Jimmy Carter,"Social Justice,Religion,Non Fiction,Social Movements,Politics,Womens,Feminism,History",https://d.gr-assets.com/books/1395629638l/20523863.jpg,"The world's discrimination and violence against women and girls is the most serious, pervasive, and ignored violation of basic human rights: This is President Jimmy Carter's call to action.President Carter was encouraged to write this book by a wide coalition of leaders of all faiths. His urgent report is current. It covers the plight of women and girls–strangled at birth,The world's discrimination and violence against women and girls is the most serious, pervasive, and ignored violation of basic human rights: This is President Jimmy Carter's call to action.President Carter was encouraged to write this book by a wide coalition of leaders of all faiths. His urgent report is current. It covers the plight of women and girls–strangled at birth, forced to suffer servitude, child marriage, genital cutting, deprived of equal opportunity in wealthier nations and ""owned"" by men in others. And the most vulnerable, along with their children, are trapped in war and violence.He addresses the adverse impact of distorted religious texts on women, by Protestants, Catholics, Jews, and Muslims. Special verses are often omitted or quoted out of context to exalt the status of men and exclude women. In a remark that is certain to get attention, Carter points out that women are treated more equally in some countries that are atheistic or where governments are strictly separated from religion.Carter describes his personal observations of the conditions and hardships of women around the world. He describes a trip in Africa with Bill Gates, Sr. and his wife, where they are appalled by visits to enormous brothels. He tells how he joined Nelson Mandela to plead for an end to South Africa's practice of outlawing treatments to protect babies from AIDS-infected mothers.Throughout, Carter reports on observations of women activists and workers of The Carter Center. This is an informed and passionate charge about human rights abuses against half the world's population. It comes from one of the world's most renowned human rights advocates."
Graywolf Press,1555976891,9781555976897,On Immunity: An Inoculation,,2014,20613511,Eula Biss,"Autobiography,Biology,Science,Medical,Writing,Parenting,Health,Medicine,Essays,Memoir,Non Fiction,History",https://d.gr-assets.com/books/1393647576l/20613511.jpg,"Upon becoming a new mother, Eula Biss addresses a chronic condition of fear--fear of the government, the medical establishment, and what is in your child's air, food, mattress, medicine, and vaccines. She finds that you cannot immunize your child, or yourself, from the world.In this bold, fascinating book, Biss investigates the metaphors and myths surrounding our conceptioUpon becoming a new mother, Eula Biss addresses a chronic condition of fear--fear of the government, the medical establishment, and what is in your child's air, food, mattress, medicine, and vaccines. She finds that you cannot immunize your child, or yourself, from the world.In this bold, fascinating book, Biss investigates the metaphors and myths surrounding our conception of immunity and its implications for the individual and the social body. As she hears more and more fears about vaccines, Biss researches what they mean for her own child, her immediate community, America, and the world, both historically and in the present moment. She extends a conversation with other mothers to meditations on Voltaire's Candide, Bram Stoker's Dracula, Rachel Carson's Silent Spring, Susan Sontag's AIDS and Its Metaphors, and beyond.On Immunity is a moving account of how we are all interconnected-our bodies and our fates."
Flatiron Books,1250077001,9781250077004,Furiously Happy: A Funny Book About Horrible Things,,2015,23848559,Jenny  Lawson,"Autobiography,Mental Health,Humor,Funny,Biography Memoir,Writing,Mental Illness,Non Fiction,Essays,Memoir,Biography",https://d.gr-assets.com/books/1429101901l/23848559.jpg,"In LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.AccordingIn LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.According to Jenny: ""Some people might think that being 'furiously happy' is just an excuse to be stupid and irresponsible and invite a herd of kangaroos over to your house without telling your husband first because you suspect he would say no since he's never particularly liked kangaroos. And that would be ridiculous because no one would invite a herd of kangaroos into their house. Two is the limit. I speak from personal experience. My husband says that none is the new limit. I say he should have been clearer about that before I rented all those kangaroos.""""Most of my favorite people are dangerously fucked-up but you'd never guess because we've learned to bare it so honestly that it becomes the new normal. Like John Hughes wrote in The Breakfast Club, 'We're all pretty bizarre. Some of us are just better at hiding it.' Except go back and cross out the word 'hiding.'""Jenny's first book, LET'S PRETEND THIS NEVER HAPPENED, was ostensibly about family, but deep down it was about celebrating your own weirdness. FURIOUSLY HAPPY is a book about mental illness, but under the surface it's about embracing joy in fantastic and outrageous ways-and who doesn't need a bit more of that?"
Anchor,0385420536,9780385420532,Adolf Hitler,,1991,65459,John Willard Toland,"Biography Memoir,World War II,Military History,Holocaust,Cultural,Germany,Biography,Military,Politics,War,Non Fiction,History",https://d.gr-assets.com/books/1400889595l/65459.jpg,"Pulitzer Prize-winning historian John Toland’s classic, definitive biography of Adolf Hitler remains the most thorough, readable, accessible, and, as much as possible, objective account of the life of a man whose evil effect on the world in the twentieth century will always be felt.Toland’s research provided one of the final opportunities for a historian to conduct personaPulitzer Prize-winning historian John Toland’s classic, definitive biography of Adolf Hitler remains the most thorough, readable, accessible, and, as much as possible, objective account of the life of a man whose evil effect on the world in the twentieth century will always be felt.Toland’s research provided one of the final opportunities for a historian to conduct personal interviews with over two hundred individuals intimately associated with Hitler. At a certain distance yet still with access to many of the people who enabled and who opposed the führer and his Third Reich, Toland strove to treat this life as if Hitler lived and died a hundred years before instead of within his own memory. From childhood and obscurity to his desperate end, Adolf Hitler emerges as, in Toland’s words, “far more complex and contradictory . . . obsessed by his dream of cleansing Europe Jews . . . a hybrid of Prometheus and Lucifer.”"
Da Capo Press,0306801892,9780306801891,Now It Can Be Told: The Story Of The Manhattan Project,,1983,170428,"Leslie R. Groves,Edward Teller","World War II,Science,Military History,Military,Non Fiction,History",https://d.gr-assets.com/books/1347635465l/170428.jpg,"General Leslie Groves and J. Robert Oppenheimer were the two men chiefly responsible for the building of the first atomic bomb at Los Alamos, code name ""The Manhattan Project."" As the ranking military officer in charge of marshalling men and material for what was to be the most ambitious, expensive engineering feat in history, it was General Groves who hired Oppenheimer (wGeneral Leslie Groves and J. Robert Oppenheimer were the two men chiefly responsible for the building of the first atomic bomb at Los Alamos, code name ""The Manhattan Project."" As the ranking military officer in charge of marshalling men and material for what was to be the most ambitious, expensive engineering feat in history, it was General Groves who hired Oppenheimer (with knowledge of his left-wing past), planned facilities that would extract the necessary enriched uranium, and saw to it that nothing interfered with the accelerated research and swift assembly of the weapon.This is his story of the political, logistical, and personal problems of this enormous undertaking which involved foreign governments, sensitive issues of press censorship, the construction of huge plants at Hanford and Oak Ridge, and a race to build the bomb before the Nazis got wind of it. The role of groves in the Manhattan Project has always been controversial. In his new introduction the noted physicist Edward Teller, who was there at Los Alamos, candidly assesses the general's contributions—and Oppenheimer's—while reflecting on the awesome legacy of their work."
Naval Institute Press,1591143543,9781591143543,"Japanese Destroyer Captain: Pearl Harbor, Guadalcanal, Midway - The Great Naval Battles As Seen Through Japanese Eyes",,2007,851017,"Roger Pineau,Tameichi Hara,Fred Saito","Autobiography,World War II,Asian Literature,Military History,Biography,Memoir,Cultural,Japanese Literature,Japan,Military,War,Non Fiction,History",https://d.gr-assets.com/books/1348016808l/851017.jpg,"The Naval Institute Press is pleased to make available for the first time this cloth edition of a now-classic war memoir that was a best seller in both Japan and the United States during the 1960s. Originally published as a paperback in 1961, it has long been treasured by World War II buffs and professional historians for its insights into the Japanese side of the surfaceThe Naval Institute Press is pleased to make available for the first time this cloth edition of a now-classic war memoir that was a best seller in both Japan and the United States during the 1960s. Originally published as a paperback in 1961, it has long been treasured by World War II buffs and professional historians for its insights into the Japanese side of the surface war in the Pacific. The book has been credited with correcting errors in U.S. accounts of various battles and with revealing details of high-level Imperial Japanese Navy strategy meetings. The author, Captain Tameichi Hara, was a survivor of more than one hundred sorties against the Allies and was known throughout Japan as the Unsinkable Captain. Called the workhorses of the navy, Japanese destroyers shouldered the heaviest burden of the surface war and took part in scores of intense sea battles, many of which Captain Hara describes here. In the early days of the war victories were common, but by 1943, the lack of proper maintenance of the destroyers and sufficient supplies, along with Allied development of scientific equipment and superior aircraft, took its toll. On April 7, 1945, during the Japanese navy s last sortie, Captain Hara managed to survive the sinking of his own ship only to witness the demise of the famed Japanese battleship Yamato off Okinawa. A hero to his countrymen, Captain Hara exemplified the best in Japanese surface commanders: highly skilled (he wrote the manual on torpedo warfare), hard driving, and aggressive. Moreover, he maintained a code of honor worthy of his samurai grandfather, and, as readers of this book have come to appreciate, he was as free with praise for American courage and resourcefulness as he was critical of himself and his senior commanders. The book s popularity over the past forty-six years testifies to the author s success at writing an objective account of what happened that provides not only a fascinating eyewitness record of the war, but also an honest and dispassionate assessment of Japan s high command. Captain Hara s sage advice on leadership is as applicable today as it was when written. For readers new to this book and for those who have read and re-read their paperback editions until they have fallen apart, this new hardcover edition assures them a permanent source of reference and enjoyment."
Harper Perennial,0060742852,9780060742850,Shockwave: Countdown to Hiroshima,,2006,168760,Stephen Walker,"World War II,Cultural,American History,Military,Japan,War,Non Fiction,History",https://d.gr-assets.com/books/1407110999l/168760.jpg,"A riveting, minute-by-minute account of the momentous event that changed our world forever On a quiet Monday morning in August 1945, a five-ton bomb—dubbed Little Boy by its creators—was dropped from an American plane onto the Japanese city of Hiroshima. On that day, a firestorm of previously unimagined power was unleashed on a vibrant metropolis of 300,000 people, leavingA riveting, minute-by-minute account of the momentous event that changed our world foreverOn a quiet Monday morning in August 1945, a five-ton bomb—dubbed Little Boy by its creators—was dropped from an American plane onto the Japanese city of Hiroshima. On that day, a firestorm of previously unimagined power was unleashed on a vibrant metropolis of 300,000 people, leaving one third of its population dead, its buildings and landmarks incinerated. It was the terrifying dawn of the Atomic Age, spawning decades of paranoia, mistrust, and a widespread and very real fear of the potential annihilation of the human race.Author Stephen Walker brilliantly re-creates the three terrible weeks leading up to the wartime detonation of the atomic bomb—from the first successful test in the New Mexico desert to the cataclysm and its aftermath—presenting the story through the eyes of pilots, scientists, civilian victims, and world leaders who stood at the center of earth-shattering drama. It is a startling, moving, frightening, and remarkable portrait of an extraordinary event—a shockwave whose repercussions can be felt to this very day."
Touchstone,1476785651,9781476785653,You're Never Weird on the Internet (Almost),,2015,23705512,"Joss Whedon,Felicia Day","Autobiography,Biography Memoir,Humor,Non Fiction,Memoir,Biography",https://d.gr-assets.com/books/1440565049l/23705512.jpg,"From online entertainment mogul, actress, and “queen of the geeks” Felicia Day, a funny, quirky, and inspiring memoir about her unusual upbringing, her rise to Internet-stardom, and embracing her individuality to find success in Hollywood.The Internet isn’t all cat videos. There’s also Felicia Day—violinist, filmmaker, Internet entrepreneur, compulsive gamer, hoagie speciaFrom online entertainment mogul, actress, and “queen of the geeks” Felicia Day, a funny, quirky, and inspiring memoir about her unusual upbringing, her rise to Internet-stardom, and embracing her individuality to find success in Hollywood.The Internet isn’t all cat videos. There’s also Felicia Day—violinist, filmmaker, Internet entrepreneur, compulsive gamer, hoagie specialist, and former lonely homeschooled girl who overcame her isolated childhood to become the ruler of a new world... or at least semi-influential in the world of Internet Geeks and Goodreads book clubs.After growing up in the south where she was ""home-schooled for hippie reasons"", Felicia moved to Hollywood to pursue her dream of becoming an actress and was immediately typecast as a crazy cat-lady secretary. But Felicia’s misadventures in Hollywood led her to produce her own web series, own her own production company, and become an Internet star.Felicia’s short-ish life and her rags-to-riches rise to Internet fame launched her career as one of the most influential creators in new media. Now, Felicia’s strange world is filled with thoughts on creativity, video games, and a dash of mild feminist activism—just like her memoir.Hilarious and inspirational, You’re Never Weird on the Internet (Almost) is proof that everyone should embrace what makes them different and be brave enough to share it with the world, because anything is possible now—even for a digital misfit."
Simon ,1476762090,9781476762098,Come as You Are: The Surprising New Science that Will Transform Your Sex Life,,2015,22609341,Emily Nagoski,"Psychology,Science,Medical,Self Help,Sexuality,Health,Feminism,Womens,Non Fiction,Adult",https://d.gr-assets.com/books/1421037685l/22609341.jpg,"An essential exploration of why and how women’s sexuality works—based on groundbreaking research and brain science—that will radically transform your sex life into one filled with confidence and joy.Researchers have spent the last decade trying to develop a “pink pill” for women to function like Viagra does for men. So where is it? Well, for reasons this book makes crystalAn essential exploration of why and how women’s sexuality works—based on groundbreaking research and brain science—that will radically transform your sex life into one filled with confidence and joy.Researchers have spent the last decade trying to develop a “pink pill” for women to function like Viagra does for men. So where is it? Well, for reasons this book makes crystal clear, that pill will never exist—but as a result of the research that’s gone into it, scientists in the last few years have learned more about how women’s sexuality works than we ever thought possible, and Come as You Are explains it all.The first lesson in this essential, transformative book by Dr. Emily Nagoski is that every woman has her own unique sexuality, like a fingerprint, and that women vary more than men in our anatomy, our sexual response mechanisms, and the way our bodies respond to the sexual world. So we never need to judge ourselves based on others’ experiences. Because women vary, and that’s normal.Second lesson: sex happens in a context. And all the complications of everyday life influence the context surrounding a woman’s arousal, desire, and orgasm. Cutting-edge research across multiple disciplines tells us that the most important factor for women in creating and sustaining a fulfilling sex life, is not what you do in bed or how you do it, but how you feel about it. Which means that stress, mood, trust, and body image are not peripheral factors in a woman’s sexual wellbeing; they are central to it. Once you understand these factors, and how to influence them, you can create for yourself better sex and more profound pleasure than you ever thought possible.And Emily Nagoski can prove it."
Cooper Square Publishers,0815412622,9780815412625,The Nuremberg Trials,,2003,789376,"John Tusa,Ann Tusa","World War II,German Literature,Holocaust,European Literature,Historical,World History,Law,War,Non Fiction,History",https://d.gr-assets.com/books/1178371520l/789376.jpg,"This well researched book exposes the many different facets of the Nuremberg Trial. Using a variety of resources, the Tusas are able to thoroughly layout new information from the trial. This was the closure for many to World War II, and it was one of the greatest judicial accomplishements. The Tusas provide a clear history of the events and fresh insight to what happened dThis well researched book exposes the many different facets of the Nuremberg Trial. Using a variety of resources, the Tusas are able to thoroughly layout new information from the trial. This was the closure for many to World War II, and it was one of the greatest judicial accomplishements. The Tusas provide a clear history of the events and fresh insight to what happened during the trial."
